id,user,uid,version,changeset,timestamp
4493469,R438,376715,27,16936177,2013-07-13T12:01:10Z
9853512,OSMF Redaction Account,722137,7,12392102,2012-07-20T21:11:04Z
23023861,4b696d,1420318,17,38588154,2016-04-15T13:45:25Z
24476295,zxlsubway,3640139,8,37307234,2016-02-19T12:11:25Z
24825312,Aleks-Berlin,85218,24,46062052,2017-02-13T21:17:07Z
25093057,jwt8070,2001921,9,22872388,2014-06-11T14:36:55Z
25375841,Esperanza36,83557,2,3177131,2009-11-21T15:51:40Z
25671100,Luis36995,1829683,6,24870083,2014-08-19T20:46:22Z
26119400,GanDhi,253506,2,5440027,2010-08-09T05:07:56Z
26288993,R438,376715,4,11700297,2012-05-25T17:36:02Z
26334387,FreedSky,1236135,3,46442446,2017-02-27T13:30:15Z
26390501,jamesks,2500,6,46257449,2017-02-20T22:03:12Z
26428067,15Tr,1987359,5,36624731,2016-01-16T22:36:30Z
26516004,桨桨0314,3796143,3,38399633,2016-04-08T08:04:50Z
26812224,Lackness Franc,53125,1,554550,2008-09-06T14:54:04Z
27054400,R438,376715,3,11760959,2012-05-31T18:45:34Z
28947684,jwt8070,2001921,29,22982156,2014-06-17T11:30:41Z
29151715,R438,376715,4,9080626,2011-08-21T05:04:30Z
29179846,georhoko,1708958,8,37106611,2016-02-09T17:35:53Z
29235330,gerg1,697073,4,13649144,2012-10-27T12:46:08Z
29257567,R438,376715,3,7483478,2011-03-07T12:05:56Z
29309226,R438,376715,2,10444272,2012-01-20T09:03:40Z
29423042,FreedSky,1236135,4,46442890,2017-02-27T13:56:03Z
30065014,R438,376715,5,10966261,2012-03-13T12:54:22Z
30212693,R438,376715,4,12018647,2012-06-26T05:36:58Z
30748403,volare20,3365583,13,35627770,2015-11-28T12:53:02Z
30766509,hanchao,499500,9,24717301,2014-08-13T07:37:29Z
30784273,Chris Parker,51722,8,35739358,2015-12-04T03:29:54Z
30832949,jwt8070,2001921,4,23018484,2014-06-19T08:54:54Z
30838793,antosheng,4727716,8,42916477,2016-10-15T11:54:01Z
31099356,Hermann001,1965631,7,34124121,2015-09-19T16:10:58Z
31961400,ClausHansen,103866,1,773823,2009-03-09T16:35:29Z
33406775,ff5722,3450290,4,44215007,2016-12-06T17:24:38Z
33457231,Jonathan ZHAO,837425,3,16640091,2013-06-21T08:00:36Z
33506195,R438,376715,2,11175375,2012-04-04T11:42:20Z
33611642,Esperanza36,83557,4,13577465,2012-10-21T09:44:01Z
33615466,4rch,1772211,8,31196793,2015-05-16T09:44:50Z
33658134,R438,376715,3,10713216,2012-02-17T17:22:56Z
34104205,Esperanza36,83557,6,13621712,2012-10-24T21:30:27Z
34574599,MrBoot,114770,4,12530391,2012-07-29T04:23:12Z
36454551,Chen Jia,288524,2,28813946,2015-02-13T06:26:42Z
40364943,Lackness Franc,53125,1,2402283,2009-09-07T13:53:33Z
40543904,nuklearerWintersturm,75424,1,2432096,2009-09-10T05:49:48Z
40591213,nuklearerWintersturm,75424,1,2440323,2009-09-10T20:36:21Z
40606183,nuklearerWintersturm,75424,1,2442813,2009-09-11T05:59:50Z
40627622,nuklearerWintersturm,75424,2,2999326,2009-10-31T17:10:17Z
40631339,eBin,973600,3,26268582,2014-10-23T00:37:53Z
40632390,nuklearerWintersturm,75424,2,3002103,2009-10-31T22:16:19Z
40798571,eBin,973600,5,26268582,2014-10-23T00:56:03Z
41656899,R438,376715,13,11559190,2012-05-10T14:03:59Z
41662008,nuklearerWintersturm,75424,2,2767416,2009-10-07T05:38:49Z
42345315,R438,376715,2,10443966,2012-01-20T08:21:59Z
42353627,R438,376715,7,11442221,2012-04-28T16:06:03Z
42366665,R438,376715,5,11018251,2012-03-18T12:37:48Z
42398977,R438,376715,4,12635847,2012-08-06T17:14:42Z
42412801,hanchao,499500,7,25250244,2014-09-05T14:49:09Z
42424193,nuklearerWintersturm,75424,1,2829837,2009-10-12T20:17:55Z
42488873,Couridecs,3770951,4,38265704,2016-04-03T12:13:50Z
42498763,georhoko,1708958,5,37086050,2016-02-08T18:33:07Z
42509075,nuklearerWintersturm,75424,1,2849273,2009-10-14T20:13:26Z
42576880,nuklearerWintersturm,75424,1,2856241,2009-10-15T16:57:22Z
42623424,nuklearerWintersturm,75424,1,2859498,2009-10-15T21:54:12Z
42673589,hanchao,499500,5,25221407,2014-09-04T08:45:34Z
42681405,nuklearerWintersturm,75424,1,2865335,2009-10-16T15:32:24Z
42686779,nuklearerWintersturm,75424,1,2866516,2009-10-16T17:46:09Z
42720164,R438,376715,3,12759050,2012-08-17T07:46:22Z
42746526,hanchao,499500,6,22477926,2014-05-22T02:09:01Z
42749481,R438,376715,8,18437584,2013-10-19T17:19:36Z
42941650,15Tr,1987359,17,36624731,2016-01-16T22:36:17Z
42966049,Tronikon,123364,5,30732455,2015-05-02T21:01:06Z
42987172,15Tr,1987359,8,36624731,2016-01-16T22:37:16Z
43045238,R438,376715,2,7480595,2011-03-07T03:49:38Z
43047284,FreedSky,1236135,2,46443075,2017-02-27T14:04:59Z
43534229,nuklearerWintersturm,75424,1,3003112,2009-11-01T01:31:22Z
43921137,wdmanuel,107148,5,44658532,2016-12-25T09:53:30Z
43926818,RationalTangle,2639622,2,31861388,2015-06-10T06:09:20Z
43929187,nuklearerWintersturm,75424,1,3052986,2009-11-07T00:51:14Z
43976641,nuklearerWintersturm,75424,1,3059857,2009-11-07T23:01:18Z
43977797,nuklearerWintersturm,75424,1,3060075,2009-11-07T23:47:29Z
43977898,nuklearerWintersturm,75424,1,3060075,2009-11-07T23:47:37Z
45788591,wangchun,13721,1,3320846,2009-12-07T23:21:41Z
47502450,krispyduck,105998,4,25243491,2014-09-05T08:52:58Z
47570828,R438,376715,2,12613899,2012-08-04T20:15:43Z
47573379,R438,376715,6,19948792,2014-01-12T09:25:15Z
