id,key,value,type
4493469,name,,regular
4493469,oneway,yes,regular
4493469,highway,primary,regular
4493469,en,,name
4493469,zh,,name
4493469,zh_pinyin,,name
9853512,service,siding,regular
23023861,aeroway,taxiway,regular
24476295,name,,regular
24476295,highway,service,regular
24476295,service,alley,regular
24476295,int_name,Neiwubu Hutong,regular
24825312,city,北京,addr
24825312,amenity,place_of_worship,regular
24825312,denomination,Lamaist,regular
24825312,name,,regular
24825312,en,,name
24825312,es,,name
24825312,zh_pinyin,,name
24825312,zh_TW,,name
24825312,opening_hours,Mo-Su 08:30-17:30,regular
24825312,religion,buddhist,regular
24825312,tourism,attraction,regular
24825312,website,http://www.yonghegong.cn/,regular
24825312,wikipedia,en:Yonghe Temple,regular
24825312,de,Yonghe-Tempel,wikipedia
24825312,zh,雍和宫,wikipedia
25093057,name,,regular
25093057,highway,tertiary,regular
25093057,en,,name
25093057,trolley_wire,yes,regular
25375841,highway,service,regular
25671100,layer,1,regular
25671100,bridge,yes,regular
25671100,oneway,yes,regular
25671100,highway,trunk_link,regular
26119400,highway,footway,regular
26288993,oneway,yes,regular
26288993,highway,tertiary_link,regular
26334387,railway,rail,regular
26334387,service,spur,regular
26390501,bridge,yes,regular
26390501,highway,motorway,regular
26390501,lanes,3,regular
26390501,layer,1,regular
26390501,name,,regular
26390501,oneway,yes,regular
26390501,ref,S50,regular
26428067,name,,regular
26428067,lanes,2,regular
26428067,layer,1,regular
26428067,bridge,yes,regular
26428067,oneway,yes,regular
26428067,highway,motorway,regular
26428067,int_ref,AH3,regular
26428067,en,6th Ring 路,name
26516004,name,,regular
26516004,layer,-3,regular
26516004,landuse,commercial,regular
26516004,en,,name
26812224,highway,footway,regular
27054400,oneway,yes,regular
27054400,highway,tertiary_link,regular
27054400,maxheight,3.5,regular
28947684,name,,regular
28947684,oneway,yes,regular
28947684,highway,secondary,regular
28947684,en,,name
28947684,int_name,Meishi Jie,regular
29151715,oneway,yes,regular
29151715,highway,motorway_link,regular
29179846,ref,G108,regular
29179846,name,,regular
29179846,lanes,3,regular
29179846,oneway,yes,regular
29179846,highway,trunk,regular
29179846,alt_name,莲石西路,regular
29235330,layer,1,regular
29235330,bridge,yes,regular
29235330,oneway,yes,regular
29235330,highway,motorway_link,regular
29257567,layer,1,regular
29257567,bridge,yes,regular
29257567,oneway,yes,regular
29257567,highway,secondary,regular
29309226,oneway,yes,regular
29309226,highway,secondary_link,regular
29423042,railway,rail,regular
29423042,service,siding,regular
30065014,name,,regular
30065014,layer,1,regular
30065014,bridge,yes,regular
30065014,oneway,yes,regular
30065014,highway,secondary,regular
30065014,int_name,Fuchengmen Qiao,regular
30065014,trolley_wire,yes,regular
30212693,name,,regular
30212693,layer,2,regular
30212693,bridge,yes,regular
30212693,oneway,yes,regular
30212693,highway,secondary,regular
30748403,name,,regular
30748403,highway,tertiary,regular
30748403,en,,name
30766509,name,,regular
30766509,highway,service,regular
30766509,en,,name
30766509,service,alley,regular
30784273,name,,regular
30784273,en,,name
30784273,zh,,name
30784273,tourism,attraction,regular
30784273,historic,monument,regular
30784273,zh_pinyin,,name
30832949,name,,regular
30832949,highway,residential,regular
30832949,en,,name
30832949,int_name,Liuyin Jie,regular
30838793,name,,regular
30838793,highway,service,regular
30838793,en,,name
30838793,service,alley,regular
31099356,highway,footway,regular
31961400,highway,residential,regular
31961400,created_by,Potlatch 0.10f,regular
33406775,name,W. Guanghe 路,regular
33406775,highway,tertiary,regular
33457231,highway,service,regular
33506195,highway,tertiary,regular
33611642,name,Daheihu 胡同,regular
33611642,highway,service,regular
33611642,service,alley,regular
33615466,ref,G1,regular
33615466,name,,regular
33615466,lanes,3,regular
33615466,layer,2,regular
33615466,bridge,yes,regular
33615466,oneway,yes,regular
33615466,highway,motorway,regular
33615466,zh_pinyin,,name
33658134,layer,1,regular
33658134,bridge,yes,regular
33658134,highway,footway,regular
34104205,name,Rongxian 胡同,regular
34104205,highway,service,regular
34104205,service,alley,regular
34574599,highway,residential,regular
36454551,ref,S305,regular
36454551,highway,primary,regular
40364943,highway,path,regular
40364943,sac_scale,hiking,regular
40543904,building,yes,regular
40591213,building,yes,regular
40606183,building,yes,regular
40627622,name,,regular
40627622,zh,,name
40627622,building,yes,regular
40631339,building,yes,regular
40631339,colour,#FB994D,roof
40631339,material,roof_tiles,roof
40632390,name,,regular
40632390,zh,,name
40632390,building,yes,regular
40798571,name,,regular
40798571,building,yes,regular
40798571,shape,hipped,roof
40798571,colour,#FB994D,roof
40798571,material,roof_tiles,roof
41656899,oneway,yes,regular
41656899,highway,secondary_link,regular
41656899,maxheight,4,regular
41662008,layer,1,regular
41662008,natural,wood,regular
42345315,name,Xiaowuji 路,regular
42345315,highway,residential,regular
42353627,name,,regular
42353627,oneway,yes,regular
42353627,highway,tertiary,regular
42353627,int_name,Tianchen Donglu,regular
42366665,oneway,yes,regular
42366665,highway,tertiary_link,regular
42398977,highway,residential,regular
42412801,name,,regular
42412801,oneway,yes,regular
42412801,highway,tertiary,regular
42412801,int_name,Anzhen Lu,regular
42424193,highway,footway,regular
42424193,surface,cobblestone,regular
42488873,name,,regular
42488873,highway,residential,regular
42498763,ref,S204,regular
42498763,oneway,yes,regular
42498763,highway,primary,regular
42498763,junction,roundabout,regular
42509075,building,yes,regular
42576880,barrier,wall,regular
42623424,barrier,wall,regular
42673589,name,,regular
42673589,highway,residential,regular
42673589,en,,name
42681405,barrier,wall,regular
42686779,area,yes,regular
42686779,highway,pedestrian,regular
42686779,surface,cobblestone,regular
42720164,oneway,yes,regular
42720164,highway,tertiary_link,regular
42746526,name,,regular
42746526,lanes,3,regular
42746526,oneway,yes,regular
42746526,highway,trunk,regular
42746526,en,,name
42746526,fr,,name
42746526,zh,,name
42746526,zh_pinyin,,name
42749481,name,,regular
42749481,highway,tertiary,regular
42749481,zh_pinyin,,name
42941650,ref,G6,regular
42941650,name,,regular
42941650,lanes,3,regular
42941650,oneway,yes,regular
42941650,highway,motorway,regular
42941650,int_ref,AH3,regular
42966049,gauge,1435,regular
42966049,layer,-1,regular
42966049,usage,main,regular
42966049,source,Yahoo hires,regular
42966049,tracks,2,regular
42966049,tunnel,yes,regular
42966049,railway,rail,regular
42966049,voltage,25000,regular
42966049,frequency,50,regular
42966049,electrified,contact_line,regular
42987172,ref,G1,regular
42987172,name,,regular
42987172,lanes,3,regular
42987172,oneway,yes,regular
42987172,highway,motorway,regular
42987172,int_ref,AH1,regular
42987172,short_name,京哈高速,regular
43045238,area,yes,regular
43045238,name,,regular
43045238,railway,platform,regular
43047284,name,,regular
43047284,railway,rail,regular
43047284,service,siding,regular
43534229,tunnel,yes,regular
43534229,highway,footway,regular
43534229,surface,cobblestone,regular
43921137,name,,regular
43921137,en,,name
43921137,zh,,name
43921137,building,yes,regular
43921137,shape,hipped,roof
43921137,colour,blue,roof
43921137,material,roof_tiles,roof
43926818,highway,footway,regular
43929187,highway,footway,regular
43976641,foot,yes,regular
43976641,highway,footway,regular
43977797,building,yes,regular
43977898,building,yes,regular
45788591,name,,regular
45788591,railway,platform,regular
47502450,oneway,yes,regular
47502450,highway,tertiary_link,regular
47570828,name,,regular
47570828,highway,tertiary,regular
47573379,oneway,yes,regular
47573379,highway,tertiary,regular
47575261,layer,1,regular
47575261,bridge,yes,regular
47575261,oneway,yes,regular
47575261,highway,motorway_link,regular
47575261,int_ref,AH1,regular
47577941,layer,1,regular
47577941,bridge,yes,regular
47577941,oneway,yes,regular
47577941,highway,motorway_link,regular
47612721,highway,tertiary,regular
47660185,oneway,yes,regular
47660185,highway,motorway_link,regular
47693387,name,,regular
47693387,oneway,yes,regular
47693387,highway,secondary,regular
47732966,railway,rail,regular
47867796,oneway,yes,regular
47867796,highway,motorway_link,regular
48044260,ref,S216,regular
48044260,name,,regular
48044260,oneway,yes,regular
48044260,highway,secondary,regular
48134975,highway,residential,regular
50633435,highway,secondary_link,regular
50636596,highway,motorway_link,regular
50636596,oneway,yes,regular
51267744,gauge,1435,regular
51267744,colour,#F9E700,regular
51267744,railway,subway,regular
51267744,voltage,750,regular
51267744,frequency,0,regular
51267744,electrified,rail,regular
52734252,layer,1,regular
52734252,bridge,yes,regular
52734252,highway,unclassified,regular
54816231,layer,-1,regular
54816231,source,Yahoo hires,regular
54816231,tunnel,yes,regular
54816231,railway,rail,regular
55335032,source,Yahoo hires,regular
55335032,highway,unclassified,regular
55343671,bridge,yes,regular
55343671,highway,primary,regular
55343671,layer,1,regular
55343671,name,,regular
55343671,source,Yahoo hires,regular
55706144,highway,residential,regular
55788463,name,,regular
55788463,leisure,golf_course,regular
55884119,highway,residential,regular
57885665,highway,service,regular
58645329,name,,regular
58645329,landuse,residential,regular
58692525,oneway,yes,regular
58692525,highway,motorway_link,regular
59167994,highway,service,regular
59167994,service,alley,regular
59174495,highway,residential,regular
59181719,highway,service,regular
59181719,service,alley,regular
59188975,highway,residential,regular
59189090,highway,residential,regular
59198157,highway,service,regular
59198157,service,alley,regular
59210726,highway,residential,regular
59210834,highway,residential,regular
59216986,highway,residential,regular
59217099,highway,service,regular
59217099,service,alley,regular
59221376,highway,service,regular
59221376,service,alley,regular
60105895,highway,residential,regular
60110824,highway,residential,regular
60495793,highway,residential,regular
60500567,highway,residential,regular
60540233,building,yes,regular
68315146,source,Yahoo hires,regular
68315146,highway,unclassified,regular
71401508,source,Yahoo hires,regular
71401508,landuse,residential,regular
74142117,waterway,stream,regular
77966307,source,Yahoo hires,regular
77966307,highway,residential,regular
79292477,highway,unclassified,regular
80330534,source,Yahoo hires,regular
80330534,highway,unclassified,regular
80902537,highway,service,regular
83799291,access,permissive,regular
83799291,highway,service,regular
83799291,construction,yes,regular
84087565,highway,service,regular
84359881,FIXME,steps?,regular
84359881,bridge,yes,regular
84359881,highway,footway,regular
84619947,sport,volleyball,regular
84619947,leisure,pitch,regular
84619947,surface,paved,regular
86113406,ref,S217,regular
86113406,source,GPS,regular
86113406,highway,primary,regular
86209052,source,Yahoo hires,regular
86209052,highway,residential,regular
87287292,lanes,2,regular
87287292,layer,1,regular
87287292,bridge,yes,regular
87287292,oneway,yes,regular
87287292,highway,motorway,regular
87287422,oneway,yes,regular
87287422,source,bing,regular
87287422,highway,secondary_link,regular
88217545,highway,steps,regular
89380267,name,,regular
89380267,source,bing,regular
89380267,barrier,city_wall,regular
89380267,de,,name
89380267,en,,name
89380267,zh,,name
89380267,historic,citywalls,regular
89380267,military,cordon,regular
89380267,two_sided,yes,regular
89380267,wikipedia,de:Chinesische Mauer,regular
89380267,civilization,imperial_chinese,historic
90942996,aeroway,taxiway,regular
90984955,aeroway,taxiway,regular
91003892,name,,regular
91003892,oneway,yes,regular
91003892,highway,primary,regular
91003892,en,,name
91003892,int_name,Kaiyang Lu,regular
91015304,aeroway,taxiway,regular
91798850,name,,regular
91798850,source,bing,regular
91798850,barrier,city_wall,regular
91798850,de,,name
91798850,en,,name
91798850,zh,,name
91798850,historic,citywalls,regular
91798850,two_sided,yes,regular
93227108,highway,residential,regular
93847374,railway,rail,regular
94253069,source,bing,regular
94253069,highway,residential,regular
97317067,name,,regular
97317067,highway,tertiary,regular
102404852,aeroway,taxiway,regular
102413730,ref,G4,regular
102413730,name,,regular
102413730,lanes,3,regular
102413730,oneway,yes,regular
102413730,highway,motorway,regular
102413730,int_ref,AH1,regular
102413730,en,Jingshi 高速公路,name
102413730,converted_by,Track2osm,regular
103009750,name,,regular
103009750,target,CN,regular
103009750,amenity,embassy,regular
